,core_code,core,unit,depth,order,type,density (g/cm3),P (mg/kg),P Density (kg/m3)
112,07205,7,2.0,0.5,3,erosion,0.9554503461820154,450.3968253968254,0.4303318027446776
113,07210,7,2.0,1.0,3,erosion,1.0061349703410993,470.05988023952096,0.4729436836633311
114,07210,7,2.0,1.0,3,erosion,1.0061349703410993,478.8306451612903,0.48176825696776426
115,07210,7,2.0,1.0,3,erosion,1.0061349703410993,517.0682730923695,0.5202404716121147
116,07300,7,3.0,0.0,3,erosion,1.068895185669365,475.0499001996008,0.5077785512760655
117,07300,7,3.0,0.0,3,erosion,1.068895185669365,521.2981744421907,0.5572131089594864
118,07300,7,3.0,0.0,3,erosion,1.068895185669365,363.45381526104416,0.3884940333456929
119,07305,7,3.0,0.5,3,erosion,1.1751932467096475,190.66937119675455,0.22407335738480094
120,07305,7,3.0,0.5,3,erosion,1.1751932467096475,211.46245059288538,0.2485092438694314
121,07305,7,3.0,0.5,3,erosion,1.1751932467096475,123.046875,0.14460385652872618
122,07310,7,3.0,1.0,3,erosion,1.4295199831707879,123.52941176470588,0.17658776262697967
123,07310,7,3.0,1.0,3,erosion,1.4295199831707879,244.5759368836292,0.3496261891778653
124,07310,7,3.0,1.0,3,erosion,1.4295199831707879,224.7983870967742,0.3213537865394009
125,07315,7,3.0,1.5,3,erosion,1.3076961620558425,934.6534653465346,1.2222427494858565
126,07315,7,3.0,1.5,3,erosion,1.3076961620558425,1007.936507936508,1.3180747030245397
127,07315,7,3.0,1.5,3,erosion,1.3076961620558425,916.8316831683168,1.198937273330406
128,07320,7,3.0,2.0,3,erosion,1.394114678450261,380.95238095238096,0.53109130607629
129,07320,7,3.0,2.0,3,erosion,1.394114678450261,371.51394422310756,0.5179330428903858
130,07320,7,3.0,2.0,3,erosion,1.394114678450261,388.2352941176471,0.541244522221866
131,07325,7,3.0,2.5,3,erosion,1.2947169552209394,248.046875,0.3211504947520689
132,07325,7,3.0,2.5,3,erosion,1.2947169552209394,207.07070707070704,0.2680979553740329
133,07325,7,3.0,2.5,3,erosion,1.2947169552209394,291.2524850894632,0.3770895306955619
