,core_code,unit,depth,order,type,Density (g/cm3),P (mg/kg)
78,17305,Gunder,0.5,5,erosion,1.070784563879509,545.4545454545455
79,17305,Gunder,0.5,5,erosion,1.070784563879509,643.0
80,17310,Gunder,1.0,5,erosion,1.3273292660656013,590.4572564612326
81,17310,Gunder,1.0,5,erosion,1.3273292660656013,498.9939637826962
82,17310,Gunder,1.0,5,erosion,1.3273292660656013,650.0
83,17315,Gunder,1.5,5,erosion,1.2726194448501231,592.741935483871
84,17315,Gunder,1.5,5,erosion,1.2726194448501231,636.71875
85,17315,Gunder,1.5,5,erosion,1.2726194448501231,618.3431952662722
86,17325,Gunder,2.5,5,erosion,1.3013708523957948,606.1507936507936
87,17325,Gunder,2.5,5,erosion,1.3013708523957948,302.1653543307087
88,17325,Gunder,2.5,5,erosion,1.3013708523957948,583.8323353293413
89,17330,Gunder,3.0,5,erosion,1.2935668989191125,593.1174089068826
90,17330,Gunder,3.0,5,erosion,1.2935668989191125,575.0
91,17330,Gunder,3.0,5,erosion,1.2935668989191125,535.569105691057
92,17335,Gunder,3.5,5,erosion,1.4890490879367781,273.9043824701195
93,17335,Gunder,3.5,5,erosion,1.4890490879367781,698.6027944111777
94,17335,Gunder,3.5,5,erosion,1.4890490879367781,581.8540433925049
95,17340,Gunder,4.0,5,erosion,1.3097498340233904,510.93439363817095
96,17340,Gunder,4.0,5,erosion,1.3097498340233904,524.6548323471401
97,17340,Gunder,4.0,5,erosion,1.3097498340233904,500.00000000000006
98,17343,Gunder,4.3,5,erosion,1.247564646846038,1173.0382293762575
99,17343,Gunder,4.3,5,erosion,1.247564646846038,1052.0
100,17343,Gunder,4.3,5,erosion,1.247564646846038,835.0
101,07100,Camp Creek,0.0,3,erosion,1.2461681499081054,329.6812749003984
102,07100,Camp Creek,0.0,3,erosion,1.2461681499081054,299.0
103,07100,Camp Creek,0.0,3,erosion,1.2461681499081054,321.8503937007874
104,07103,Camp Creek,0.3,3,erosion,1.0930463680077291,394.78957915831666
105,07103,Camp Creek,0.3,3,erosion,1.0930463680077291,355.7114228456914
106,07103,Camp Creek,0.3,3,erosion,1.0930463680077291,372.4899598393574
107,07200,Robert's Creek,0.0,3,erosion,1.0955107743687866,489.02195608782444
108,07200,Robert's Creek,0.0,3,erosion,1.0955107743687866,560.204081632653
109,07200,Robert's Creek,0.0,3,erosion,1.0955107743687866,527.7777777777778
110,07205,Robert's Creek,0.5,3,erosion,0.9554503461820154,483.16831683168317
111,07205,Robert's Creek,0.5,3,erosion,0.9554503461820154,469.00000000000006
112,07205,Robert's Creek,0.5,3,erosion,0.9554503461820154,450.3968253968254
113,07210,Robert's Creek,1.0,3,erosion,1.0061349703410993,470.05988023952096
114,07210,Robert's Creek,1.0,3,erosion,1.0061349703410993,478.8306451612903
115,07210,Robert's Creek,1.0,3,erosion,1.0061349703410993,517.0682730923695
116,07300,Gunder,0.0,3,erosion,1.068895185669365,475.0499001996008
117,07300,Gunder,0.0,3,erosion,1.068895185669365,521.2981744421907
118,07300,Gunder,0.0,3,erosion,1.068895185669365,363.45381526104416
119,07305,Gunder,0.5,3,erosion,1.1751932467096475,190.66937119675455
120,07305,Gunder,0.5,3,erosion,1.1751932467096475,211.46245059288538
121,07305,Gunder,0.5,3,erosion,1.1751932467096475,123.046875
122,07310,Gunder,1.0,3,erosion,1.4295199831707879,123.52941176470588
123,07310,Gunder,1.0,3,erosion,1.4295199831707879,244.5759368836292
124,07310,Gunder,1.0,3,erosion,1.4295199831707879,224.7983870967742
125,07315,Gunder,1.5,3,erosion,1.3076961620558425,934.6534653465346
126,07315,Gunder,1.5,3,erosion,1.3076961620558425,1007.936507936508
127,07315,Gunder,1.5,3,erosion,1.3076961620558425,916.8316831683168
128,07320,Gunder,2.0,3,erosion,1.394114678450261,380.95238095238096
129,07320,Gunder,2.0,3,erosion,1.394114678450261,371.51394422310756
130,07320,Gunder,2.0,3,erosion,1.394114678450261,388.2352941176471
131,07325,Gunder,2.5,3,erosion,1.2947169552209394,248.046875
132,07325,Gunder,2.5,3,erosion,1.2947169552209394,207.07070707070704
133,07325,Gunder,2.5,3,erosion,1.2947169552209394,291.2524850894632
134,07330,Gunder,3.0,3,erosion,1.2693335697020465,1278.6561264822135
135,07330,Gunder,3.0,3,erosion,1.2693335697020465,810.2040816326531
136,07330,Gunder,3.0,3,erosion,1.2693335697020465,881.4741035856574
137,07335,Gunder,3.5,3,erosion,1.5212780466808309,308.16326530612247
138,07335,Gunder,3.5,3,erosion,1.5212780466808309,326.0869565217391
139,07335,Gunder,3.5,3,erosion,1.5212780466808309,263.36633663366337
140,07345,Gunder,4.5,3,erosion,1.639240964496786,276.1806981519507
141,07345,Gunder,4.5,3,erosion,1.639240964496786,296.3340122199593
142,07345,Gunder,4.5,3,erosion,1.639240964496786,272.72727272727275
143,01400,Gunder,0.0,6,erosion,,311.7647058823529
144,01400,Gunder,0.0,6,erosion,,299.21259842519686
145,01400,Gunder,0.0,6,erosion,,324.8987854251012
146,14105,Camp Creek,0.5,1,erosion,1.1337912198438806,231.16089613034623
147,14200,Robert's Creek,0.0,1,erosion,1.0767812860247492,190.4296875
148,14200,Robert's Creek,0.0,1,erosion,1.0767812860247492,183.09859154929578
149,14200,Robert's Creek,0.0,1,erosion,1.0767812860247492,323.3532934131737
150,14205,Robert's Creek,0.5,1,erosion,1.253725662748682,117.87819253438114
151,14205,Robert's Creek,0.5,1,erosion,1.253725662748682,159.59595959595958
152,14205,Robert's Creek,0.5,1,erosion,1.253725662748682,125.96899224806201
