,core_code,unit,depth,order,type,Density (g/cm3),P (mg/kg)
143,07345,Gunder,4.5,3,erosion,1.6392409644967862,281.7473276997276
144,08100,Camp Creek,0.0,1,erosion,1.1751932467096478,323.97503380336104
145,08105,Camp Creek,0.5,1,erosion,1.057887503923308,258.04255828808687
146,08200,Robert's Creek,0.0,1,erosion,0.978122884703745,233.76673933354095
147,08205,Robert's Creek,0.5,1,erosion,1.1426630827436879,95.65412186379928
148,08300,Gunder,0.0,1,erosion,1.2389392245823365,135.5146771037182
149,08305,Gunder,0.5,1,erosion,1.0965786837919116,178.00761890822753
150,08312,Gunder,1.2,1,erosion,1.3604344581824743,373.4502676810369
151,08315,Gunder,1.5,1,erosion,1.2965241865523816,185.50912308487943
152,08320,Gunder,2.0,1,erosion,1.3072032807836311,164.22032890050798
153,08325,Gunder,2.5,1,erosion,1.151863533158303,243.56197424789698
154,08330,Gunder,3.0,1,erosion,1.4022472194417508,149.07207717362056
155,08340,Gunder,4.0,1,erosion,1.5232495717696768,64.52655325894763
156,08350,Gunder,5.0,1,erosion,1.40093286938252,124.25149700598801
157,08355,Gunder,5.5,1,erosion,1.603835659776259,206.78856896796987
158,08357,Gunder,5.7,1,erosion,1.506902342907995,313.23889785428247
159,09100,Camp Creek,0.0,2,erosion,0.9776300034315334,260.5810581058106
160,09200,Robert's Creek,0.0,2,erosion,1.3653632709045893,119.20422257379342
161,09300,Gunder,0.0,2,erosion,1.1399522357465246,155.82046462963322
162,09305,Gunder,0.5,2,erosion,1.2064912074950787,231.18812877263582
163,09310,Gunder,1.0,2,erosion,1.1889939223315702,194.65831663326654
164,09315,Gunder,1.5,2,erosion,1.0665950730657112,172.0572868645891
165,09320,Gunder,2.0,2,erosion,1.1819292907632053,137.5090056573244
166,09325,Gunder,2.5,2,erosion,0.9267810855150458,130.45372402220215
167,09330,Gunder,3.0,2,erosion,1.2169238610902224,127.2973879419192
168,09340,Gunder,4.0,2,erosion,1.3085176308428617,106.203007518797
169,09345,Gunder,4.5,2,erosion,,169.8357848572203
170,10100,Camp Creek,0.0,4,erosion,1.0081064954299452,500.81762837786937
171,10105,Camp Creek,0.5,4,erosion,1.2601331192874317,354.5608524267061
172,10110,Camp Creek,1.0,4,erosion,0.9794372347629756,372.3160773585208
173,10200,Robert's Creek,0.0,4,erosion,1.2043553886488287,528.538325734551
174,10205,Robert's Creek,0.5,4,erosion,1.2356533494342599,488.42816620989316
175,10210,Robert's Creek,1.0,4,erosion,1.1990979884119062,375.7342679019595
176,10216,Robert's Creek,1.6,4,erosion,1.179054150008638,380.9071703069996
177,10220,Robert's Creek,2.0,4,erosion,1.2086270263413286,366.1479273452028
178,10300,Gunder,0.0,4,erosion,1.0221536116879733,384.8408946592536
179,10305,Gunder,0.5,4,erosion,1.2635011413142103,333.2896761687596
180,10310,Gunder,1.0,4,erosion,1.2211133519040203,742.2796816631511
181,10315,Gunder,1.5,4,erosion,1.5145420026272738,563.1653956594313
182,10320,Gunder,2.0,4,erosion,1.243621596668346,756.2359975414055
183,10323,Gunder,2.3,4,erosion,1.7420888566315884,297.09059891581114
184,12323,Gunder,2.3,3,erosion,1.3021607528945944,240.96385542168676
185,13100,Camp Creek,0.0,1,erosion,1.2337639712241157,351.8267091423948
186,13105,Camp Creek,0.5,1,erosion,0.9773835627954277,399.0742441431593
187,13200,Robert's Creek,0.0,1,erosion,0.9892948602072059,487.61118168018476
188,13205,Robert's Creek,0.5,1,erosion,1.2457574155145958,339.7070254845559
189,13208,Robert's Creek,0.8,1,erosion,1.307942602691948,204.99682007076885
190,13300,Gunder,0.0,1,erosion,1.292909723889497,409.52837518033243
191,13310,Gunder,1.0,1,erosion,1.2442787716979615,606.6398457646086
192,13315,Gunder,1.5,1,erosion,1.3820390872810784,169.96536489465527
193,13320,Gunder,2.0,1,erosion,1.5441148789599641,178.92049018258137
194,13325,Gunder,2.5,1,erosion,1.4859548888390062,118.64782562112354
195,14105,Camp Creek,0.5,1,erosion,1.1337912198438806,231.16089613034623
196,14200,Robert's Creek,0.0,1,erosion,1.0767812860247492,232.29385748748982
197,14205,Robert's Creek,0.5,1,erosion,1.253725662748682,134.48104812613425
198,14300,Gunder,0.0,1,erosion,1.2936490457978143,140.62413562691356
199,14305,Gunder,0.5,1,erosion,1.2357354963129616,188.8287553150213
200,14310,Gunder,1.0,1,erosion,1.246661031180317,167.73976613943998
201,14315,Gunder,1.5,1,erosion,1.2337639712241157,220.2136810734096
202,14320,Gunder,2.0,1,erosion,1.3349689257848791,249.7586255828014
203,14325,Gunder,2.5,1,erosion,1.476918732181795,254.21500233855718
204,14330,Gunder,3.0,1,erosion,1.4652538754061224,266.7276672979798
205,14334,Gunder,3.4,1,erosion,1.8556979898763413,432.3196454064261
206,15100,Camp Creek,0.0,6,erosion,1.0200177928417236,296.98365185355743
207,15104,Camp Creek,0.4,6,erosion,1.0160747426640313,129.07062511524987
208,15300,Gunder,0.0,6,erosion,1.1361734793262364,116.44647696476964
209,15305,Gunder,0.5,6,erosion,1.258736622349499,133.65451674188557
210,15310,Gunder,1.0,6,erosion,1.317553787500073,201.25316255534472
211,15315,Gunder,1.5,6,erosion,1.232449621164885,450.54963030818556
212,15320,Gunder,2.0,6,erosion,1.2332710899519042,278.52988047808765
213,15325,Gunder,2.5,6,erosion,1.7547394759516837,198.69199626284646
214,15335,Gunder,3.5,6,erosion,1.826042966664949,186.1164214111297
215,15338,Gunder,3.8,6,erosion,2.079383940581666,136.6805893955215
216,16100,Camp Creek,0.0,5,erosion,0.9652258247475438,438.39418205010094
217,16103,Camp Creek,0.3,5,erosion,1.1831614939437336,295.10395707578806
218,16200,Robert's Creek,0.0,5,erosion,1.0771920204182588,289.85278566967116
219,16205,Robert's Creek,0.5,5,erosion,1.0552588038048465,414.4314489928525
220,16208,Robert's Creek,0.8,5,erosion,1.1690322308070038,367.49008891423637
221,16300,Gunder,0.0,5,erosion,1.1998373103202233,405.39749911140683
222,16305,Gunder,0.5,5,erosion,1.2709765072760848,318.25428376711886
223,16310,Gunder,1.0,5,erosion,1.226452899019645,209.42743538767394
224,16315,Gunder,1.5,5,erosion,1.1372413887493613,226.74769981948452
225,16320,Gunder,2.0,5,erosion,1.371688580564637,274.45803852942504
226,16325,Gunder,2.5,5,erosion,1.440445518038143,293.65645388871155
227,16330,Gunder,3.0,5,erosion,1.3983041692640588,295.4945494549455
228,16335,Gunder,3.5,5,erosion,1.4659110504357376,391.2670682730924
229,16340,Gunder,4.0,5,erosion,1.2765624950278154,348.80255560626205
230,16345,Gunder,4.5,5,erosion,1.6226472949989983,137.32655274617917
231,17100,Camp Creek,0.0,5,erosion,1.3859821374587709,480.52949293240385
232,17103,Camp Creek,0.3,5,erosion,1.217416742362434,425.1686586985391
233,17200,Robert's Creek,0.0,5,erosion,1.2200454424808953,495.81579215445123
234,17205,Robert's Creek,0.5,5,erosion,1.2072305294033958,624.3526496338624
235,17210,Robert's Creek,1.0,5,erosion,1.3511518608891577,594.8610700657418
236,17300,Gunder,0.0,5,erosion,1.11235088450268,602.3378971510169
237,17305,Gunder,0.5,5,erosion,1.070784563879509,591.0386333454063
238,17310,Gunder,1.0,5,erosion,1.3273292660656013,579.817073414643
239,17315,Gunder,1.5,5,erosion,1.2726194448501231,615.9346269167144
240,17325,Gunder,2.5,5,erosion,1.3013708523957948,497.3828277702812
241,17330,Gunder,3.0,5,erosion,1.2935668989191125,567.8955048659799
242,17335,Gunder,3.5,5,erosion,1.4890490879367781,518.1204067579341
243,17340,Gunder,4.0,5,erosion,1.3097498340233904,511.863075328437
244,17343,Gunder,4.3,5,erosion,1.247564646846038,1020.0127431254192
245,18100,Camp Creek,0.0,5,erosion,1.1708394621384461,308.2934945631796
246,18104,Camp Creek,0.4,5,erosion,0.969990343712255,251.14891025861968
247,18200,Robert's Creek,0.0,5,erosion,0.9549574649098039,383.69781312127236
248,18205,Robert's Creek,0.5,5,erosion,1.0314362089812903,303.80382278501224
249,18209,Robert's Creek,0.9,5,erosion,1.0914855773123926,219.23680831644572
250,18300,Gunder,0.0,5,erosion,1.1650070337506098,288.78928533465614
251,18305,Gunder,0.5,5,erosion,1.1867759566066183,221.923522550695
252,18310,Gunder,1.0,5,erosion,1.4209767077857882,333.7455313116371
253,18315,Gunder,1.5,5,erosion,1.3601880175463683,312.1448530102376
254,18320,Gunder,2.0,5,erosion,1.3648703896323777,203.8266509890076
255,18325,Gunder,2.5,5,erosion,1.3873786343967036,709.5700018710825
256,18330,Gunder,3.0,5,erosion,1.24378589042575,318.244423275383
257,19200,Robert's Creek,0.0,2,erosion,1.1378164169002747,390.7543443269168
258,19205,Robert's Creek,0.5,2,erosion,1.2105985514301745,253.39694118752055
259,19210,Robert's Creek,1.0,2,erosion,1.0360364341885977,186.35332921047205
260,19215,Robert's Creek,1.5,2,erosion,1.0418688625764339,191.25480971319558
261,19220,Robert's Creek,2.0,2,erosion,1.0280681869545116,212.2987564807235
262,19222,Robert's Creek,2.2,2,erosion,1.093128514886431,217.40475741430527
263,19300,Gunder,0.0,2,erosion,1.2375427276444038,213.35539006419376
264,19303,Gunder,0.3,2,erosion,1.0350506716441745,330.78764763194795
265,19312,Gunder,1.2,2,erosion,1.1633640961765717,260.6517816509513
266,19315,Gunder,1.5,2,erosion,1.3184574031657939,429.1196406178072
267,19320,Gunder,2.0,2,erosion,1.394771853479876,305.39960077325577
268,19324,Gunder,2.4,2,erosion,1.3664311803277143,359.825300167499
