,gridcode,area,perim,hdiff,vol_chg,StrmOrder
361,2,6.6978,15.86,-3.18,-21.299,4
362,2,43.1636,81.74,-3.99057,-172.247,4
363,1,60.6523,89.06,0.25,15.1631,4
364,1,21.5818,42.7,0.07,1.51073,4
365,1,221.772,298.9,0.26,57.6607,3
366,1,103.072,130.54,0.27,27.8294,4
367,1,26.047,43.92,0.4,10.4188,4
368,1,72.1874,132.98,0.27,19.4906,4
369,1,20.4655,35.38,0.49,10.0281,4
370,1,503.079,397.72,2.85,1433.78,4
371,1,314.052,434.32,0.44,138.183,3
372,1,11.163,20.74,0.35,3.90705,3
373,1,480.753,439.2,0.42,201.916,4
374,2,26.4191,53.68,-0.920483,-24.3183,3
375,1,138.793,197.64,0.17,23.5948,3
376,1,30.5122,51.24,0.08,2.44098,4
377,1,219.539,273.28,0.18,39.517,4
378,2,10.7909,31.72,-0.7,-7.55363,3
379,1,130.979,154.94,0.12,15.7175,4
380,1,29.0238,56.12,0.06,1.74143,4
381,1,20.4655,37.82,0.42,8.59551,4
382,2,7.442,20.74,-0.3,-2.2326,3
383,2,11.9072,24.4,-1.22,-14.5268,3
384,1,51.7219,63.44,0.7,36.2053,4
385,1,445.776,353.8,0.54,240.719,4
386,1,214.33,163.48,0.75,160.747,4
387,2,32.3727,42.7,-2.14091,-69.3071,4
388,1,625.872,793.0,0.66,413.076,3
389,1,34.2332,53.68,0.07,2.39632,3
390,1,263.447,225.7,0.35,92.2064,4
391,2,38.3263,65.88,-1.1428,-43.7992,3
392,1,32.7448,50.02,0.31,10.1509,4
393,1,45.0241,76.86,0.12,5.40289,4
394,2,37.5821,63.44,-2.18317,-82.048,3
395,1,68.8385,98.82,0.13,8.94901,4
396,1,136.189,128.1,0.33,44.9424,4
397,2,16.3724,31.72,-0.68,-11.1332,3
398,1,81.4899,74.42,0.11,8.96389,3
399,1,332.657,318.42,0.33,109.777,3
400,2,68.0943,97.6,-1.3635,-92.8466,3
401,1,195.725,247.66,0.21,41.1023,4
402,2,56.9313,93.94,-0.47734,-27.1756,3
403,2,16.0003,39.04,-0.24,-3.84007,4
404,1,202.05,228.14,0.36,72.738,3
405,2,10.7909,19.52,-0.22,-2.374,3
406,1,315.541,308.66,0.32,100.973,4
407,1,22.6981,41.48,0.04,0.907924,4
408,1,130.235,112.24,0.84,109.397,4
409,1,25.6749,41.48,1.28,32.8639,4
410,1,51.3498,115.9,0.46,23.6209,4
411,1,62.5128,90.28,0.04,2.50051,4
412,2,99.7228,159.82,-1.42396,-142.001,3
413,1,85.583,131.76,0.14,11.9816,4
414,2,27.1633,51.24,-0.801439,-21.7697,3
415,2,7.8141,18.3,-0.26,-2.03167,3
416,1,484.102,413.58,0.35,169.436,4
417,1,39.4426,48.8,0.07,2.76098,4
418,2,187.538,244.0,-2.8576,-535.908,3
419,2,15.2561,29.28,-0.12,-1.83073,4
420,2,44.2799,70.76,-1.04881,-46.4412,3
421,2,22.6981,39.04,-1.9105,-43.3647,3
422,1,510.893,635.62,0.33,168.595,4
423,2,11.163,25.62,-0.06,-0.66978,3
424,1,96.746,107.36,0.16,15.4794,4
425,2,16.3724,24.4,-0.117757,-1.92796,4
426,1,133.956,137.86,1.45,194.236,4
427,2,13.3956,28.06,-0.62,-8.30527,4
428,2,22.6981,36.6,-1.86987,-42.4424,4
429,1,22.326,29.28,0.6,13.3956,3
430,1,1028.86,1040.66,0.34,349.812,3
431,2,55.4429,74.42,-2.64169,-146.463,4
432,1,188.655,248.88,0.4,75.462,3
433,2,5.5815,13.42,-0.26,-1.45119,3
434,1,347.914,281.82,1.0,347.914,4
